,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
27,closed,2020-10-08 06:44:42,,81149.0,2,1468,Added mising cleanup in XMLProfileParser [9572],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1468,2020-10-09 05:17:11
28,closed,2020-10-07 14:25:52,,140517.0,1,1467,[Discovery Server] Identify writers and readers only with values valid in RTPS specification,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1467,2020-10-09 05:27:49
29,closed,2020-10-07 05:14:40,,92723.0,1,1466,Use posix_fallocate <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1466,2020-10-08 07:00:03
30,closed,2020-10-07 05:12:53,,92777.0,1,1465,Use posix_fallocate,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1465,2020-10-08 06:59:10
31,closed,2020-10-06 13:52:43,,149137.0,1,1463,Fixed RTPSWithRegistrationReader <2.0.x> [9538],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1463,2020-10-08 07:18:20
32,closed,2020-10-06 12:50:43,,1870.0,1,1462,Discovery Server: Removed unnecessary find in create_readers/writers_from_change,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1462,2020-10-06 13:21:53
33,closed,2020-10-06 11:19:48,,183707.0,5,1461,Use new IPayloadPool API on processDataMsg [9485],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1461,2020-10-08 14:21:35
34,closed,2020-10-06 10:33:36,,847807.0,1,1460,Fixes profile section to allow multiple profiles in different order.,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1460,2020-10-16 06:03:43
35,closed,2020-10-06 09:14:30,,4052.0,1,1459,Quick fix in is_writer and is_reader in DDB,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1459,2020-10-06 10:22:02
36,closed,2020-10-06 06:56:04,,714662.0,4,1458,Add option to support TRANSIENT_LOCAL in persistence [9617],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1458,2020-10-14 13:27:06
37,closed,2020-10-06 06:13:55,,85940.0,2,1457,Account for new API on foonathan_memory [9534],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1457,2020-10-07 06:06:15
38,closed,2020-10-05 16:47:28,,45009.0,1,1456,remove QNX and add cmake builtin QNXNTO variable,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1456,2020-10-06 05:17:37
39,closed,2020-10-05 13:38:34,,56307.0,1,1455,remove QNX and add cmake builtin QNXNTO variable,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1455,2020-10-06 05:17:01
40,closed,2020-10-02 11:56:48,,,3,1450,Servers receive all clients info [9500],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1450,
41,closed,2020-10-02 11:33:23,,536770.0,9,1449,Discovery Server: New design for process disposals [9499],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1449,2020-10-08 16:39:33
42,closed,2020-10-02 10:26:11,,329291.0,2,1448,Improvements on StatefulWriter <master>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1448,2020-10-06 05:54:22
43,closed,2020-10-02 09:37:26,,591182.0,9,1447,Do not relay on first reader only to decode encrypted message [9502],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1447,2020-10-09 05:50:28
44,closed,2020-10-02 08:26:50,,285503.0,7,1446,Fixed crash after recovery with persistence [9497],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1446,2020-10-05 15:45:13
45,closed,2020-10-02 07:33:11,,366284.0,1,1445,Server DDB: Check sample id on ack [9496],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1445,2020-10-06 13:17:55
