,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
85,,2021-07-26 15:19:35,[],953017584,894,open,Set shared memory subscriber options based on the reader QoS settings,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/894,,0,
86,,2021-07-22 08:06:00,[],950404266,893,open,0.8.x idlc makes every struct a topic by default,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/893,,6,
87,,2021-07-22 08:02:17,[],950401439,892,closed,Why is 'Map' a syntax error with the 0.8.x idlc?,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/892,,2,3801.0
88,,2021-07-21 08:15:07,[],949448250,891,closed,Status mask is not effective if it is previously set to none,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/891,,5,3020046.0
89,,2021-07-20 06:39:51,[],948331400,890,closed,Update CRL and fix double free,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/890,,0,10.0
90,,2021-07-20 01:44:00,[],948165832,889,closed,Is there some way to identify a sample ? ,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/889,,1,22826.0
91,,2021-07-20 01:43:56,[],948165800,888,closed,Is there some way to identify a sample ? ,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/888,,3,193531.0
92,,2021-07-19 23:20:20,[],948105524,887,closed,"ddssec_builtin_process_handshake_crl test failure ""double free""",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/887,,2,26545.0
93,,2021-07-19 13:30:43,[],947657748,886,closed,Returning writer loans,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/886,,2,245882.0
94,,2021-07-19 13:24:53,[],947652054,885,closed,Fix some configuration issues,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/885,,0,91044.0
95,,2021-07-19 09:43:18,[],947469954,884,closed,Update CRL (again),https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/884,,0,13742.0
96,,2021-07-16 14:30:31,[],946347238,883,open,Multiple Partitions in Custom Profile,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/883,,4,
97,,2021-07-15 07:38:16,[],945092621,882,closed,Increase CRL ,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/882,,0,1301.0
98,,2021-07-15 00:52:04,[],944900395,881,open,what CPU was cyclone+iceoryx test run on?,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/881,,1,
99,,2021-07-14 15:13:27,[],944532081,880,closed,Increase the CRL expiration date.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/880,,1,58212.0
100,,2021-07-14 11:01:07,[],944305358,879,closed,Fixed memory-allocation for sampleInfo,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/879,,0,1701.0
101,,2021-07-12 13:06:23,[],942042562,878,closed,Regenerate expired test CRLs,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/878,,0,73047.0
102,,2021-07-09 05:51:08,[],940440777,877,closed,Adds custom property to ddsc target to indiciate if SHM is supported,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/877,,1,551111.0
103,,2021-07-08 16:22:46,[],940025965,876,open,Add support for reloading configuration,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/876,,0,
